11210,"347  ","3470002","サイタマケン","カゾシ","ソトノ","埼玉県","加須市","外野",0,0,0,0,0,0
11210,"347  ","3470068","サイタマケン","カゾシ","ダイモンチョウ","埼玉県","加須市","大門町",0,0,0,0,0,0
11210,"347  ","3470012","サイタマケン","カゾシ","タモンジ","埼玉県","加須市","多門寺",0,0,0,0,0,0
11210,"347  ","3470055","サイタマケン","カゾシ","チュウオウ","埼玉県","加須市","中央",0,0,1,0,0,0
11210,"347  ","3470034","サイタマケン","カゾシ","ツネイズミ","埼玉県","加須市","常泉",0,0,0,0,0,0
11210,"347  ","3470064","サイタマケン","カゾシ","トウエイ","埼玉県","加須市","東栄",0,0,1,0,0,0
11210,"34701","3470121","サイタマケン","カゾシ","ドウチ","埼玉県","加須市","道地",0,0,0,0,0,0
11210,"34911","3491157","サイタマケン","カゾシ","ドウメ","埼玉県","加須市","道目",0,0,0,0,0,0
11210,"347  ","3470051","サイタマケン","カゾシ","トガワ","埼玉県","加須市","戸川",0,0,0,0,0,0
11210,"34701","3470108","サイタマケン","カゾシ","トサキ","埼玉県","加須市","戸崎",0,0,0,0,0,0
11210,"347  ","3470056","サイタマケン","カゾシ","ドテ","埼玉県","加須市","土手",0,0,1,0,0,0
11210,"34701","3470116","サイタマケン","カゾシ","トムロ","埼玉県","加須市","戸室",0,0,0,0,0,0
11210,"34911","3491148","サイタマケン","カゾシ","トヨノダイ","埼玉県","加須市","豊野台",0,0,1,0,0,0
11210,"34701","3470114","サイタマケン","カゾシ","ナカタナダレ","埼玉県","加須市","中種足",0,0,0,0,0,0
11210,"34701","3470124","サイタマケン","カゾシ","ナカノメ","埼玉県","加須市","中ノ目",0,0,0,0,0,0
11210,"347  ","3470008","サイタマケン","カゾシ","ナカヒヤリカワ","埼玉県","加須市","中樋遣川",0,0,0,0,0,0
11210,"34911","3491131","サイタマケン","カゾシ","ナカワタ","埼玉県","加須市","中渡",0,0,0,0,0,0
11210,"34701","3470117","サイタマケン","カゾシ","ニシノヤ","埼玉県","加須市","西ノ谷",0,0,0,0,0,0
11210,"34701","3470104","サイタマケン","カゾシ","ネゴヤ","埼玉県","加須市","根古屋",0,0,0,0,0,0
11210,"34911","3491132","サイタマケン","カゾシ","ハタイ","埼玉県","加須市","旗井",0,0,0,0,0,0
11210,"347  ","3470019","サイタマケン","カゾシ","ハトヤマチョウ","埼玉県","加須市","鳩山町",0,0,0,0,0,0
11210,"347  ","3470032","サイタマケン","カゾシ","ハナサキ","埼玉県","加須市","花崎",0,0,0,0,0,0
11210,"347  ","3470016","サイタマケン","カゾシ","ハナサキキタ","埼玉県","加須市","花崎北",0,0,1,0,0,0
