20213,38922,3892257,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾏﾀﾞﾗｵｺｳｹﾞﾝ,長野県,飯山市,斑尾高原,0,0,0,0,0,0
20213,38923,3892322,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾐｽﾞﾎ,長野県,飯山市,瑞穂,0,0,0,0,0,0
20213,38923,3892321,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾐｽﾞﾎﾄﾖ,長野県,飯山市,瑞穂豊,0,0,0,0,0,0
20213,38924,3892416,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾐﾄﾞﾘ,長野県,飯山市,緑,0,0,0,0,0,0
20213,38922,3892254,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾐﾅﾐﾏﾁ,長野県,飯山市,南町,0,0,0,0,0,0
20213,38922,3892244,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾔｽﾀﾞ,長野県,飯山市,安田,0,0,0,0,0,0
20213,38922,3892241,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾔﾏｷﾞｼ,長野県,飯山市,山岸,0,0,0,0,0,0
20213,38922,3892243,ﾅｶﾞﾉｹﾝ,ｲｲﾔﾏｼ,ﾖｼ,長野県,飯山市,吉,0,0,0,0,0,0
20218,38908,3890823,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ｱﾗﾔﾏ,長野県,千曲市,新山,0,0,0,0,0,0
20218,38908,3890806,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ｲｿﾍﾞ,長野県,千曲市,磯部,0,0,0,0,0,0
20218,38908,3890802,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ｳﾁｶﾜ,長野県,千曲市,内川,0,0,0,0,0,0
20218,38908,3890805,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ｶﾐﾄｸﾏ,長野県,千曲市,上徳間,0,0,0,0,0,0
20218,38908,3890822,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ｶﾐﾔﾏﾀﾞ,長野県,千曲市,上山田,0,1,0,0,0,0
20218,38908,3890821,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ｶﾐﾔﾏﾀﾞｵﾝｾﾝ,長野県,千曲市,上山田温泉,0,0,1,0,0,0
20218,38908,3890801,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ｺﾌﾞﾈﾔﾏ,長野県,千曲市,小船山,0,0,0,0,0,0
20218,38908,3890811,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ｽｻﾞｶ,長野県,千曲市,須坂,0,0,0,0,0,0
20218,38908,3890803,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ｾﾝﾎﾞﾝﾔﾅｷﾞ,長野県,千曲市,千本柳,0,0,0,0,0,0
20218,38908,3890824,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ﾁｶﾗｲｼ,長野県,千曲市,力石,0,0,0,0,0,0
20218,38908,3890804,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ﾄｸﾞﾗ,長野県,千曲市,戸倉,0,1,0,0,0,0
20218,38908,3890807,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ﾄｸﾞﾗｵﾝｾﾝ,長野県,千曲市,戸倉温泉,0,0,0,0,0,0
20218,38908,3890812,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ﾊﾈｵ,長野県,千曲市,羽尾,0,0,0,0,0,0
20218,38908,3890813,ﾅｶﾞﾉｹﾝ,ﾁｸﾏｼ,ﾜｶﾐﾔ,長野県,千曲市,若宮,0,0,0,0,0,0
20219,38905,3890500,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,長野県,東御市,以下に掲載がない場合,0,0,0,0,0,0
20219,38905,3890517,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｱｶﾞﾀ,長野県,東御市,県,0,0,0,0,0,0
20219,38905,3890503,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｱﾗﾔ,長野県,東御市,新屋,0,0,0,0,0,0
20219,38904,3890404,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｵｵﾋﾅﾀ,長野県,東御市,大日向,0,0,0,0,0,0
20219,38905,3890504,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｶｲｾﾞﾝｼﾞ,長野県,東御市,海善寺,0,0,0,0,0,0
20219,38905,3890514,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｶｻﾞﾜ,長野県,東御市,加沢,0,0,0,0,0,0
20219,38905,3890505,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｶﾉｳ,長野県,東御市,和,0,0,0,0,0,0
20219,38905,3890502,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｸﾗｶｹ,長野県,東御市,鞍掛,0,0,0,0,0,0
20219,38905,3890519,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｼｵｶﾜ,長野県,東御市,塩川,0,0,0,0,0,0
20219,38905,3890513,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｼｹﾞﾉ,長野県,東御市,滋野,0,0,0,0,0,0
20219,38905,3890512,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｼｹﾞﾉ(ｵﾂ),長野県,東御市,滋野（乙）,1,0,0,0,0,0
20219,38905,3890511,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｼｹﾞﾉ(ｺｳ),長野県,東御市,滋野（甲）,1,0,0,0,0,0
20219,38904,3890401,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｼﾏｶﾞﾜﾗ,長野県,東御市,島川原,0,0,0,0,0,0
20219,38904,3890405,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ｼﾓﾉｼﾞｮｳ,長野県,東御市,下之城,0,0,0,0,0,0
20219,38905,3890516,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ﾀﾅｶ,長野県,東御市,田中,0,0,0,0,0,0
20219,38905,3890515,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ﾄｷﾀﾞ,長野県,東御市,常田,0,0,0,0,0,0
20219,38904,3890402,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ﾇﾉｼﾀ,長野県,東御市,布下,0,0,0,0,0,0
20219,38905,3890506,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ﾈﾂ,長野県,東御市,祢津,0,0,0,0,0,0
20219,38904,3890407,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ﾊｹﾔﾏ,長野県,東御市,羽毛山,0,0,0,0,0,0
20219,38905,3890501,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ﾐﾊﾘ,長野県,東御市,新張,0,0,0,0,0,0
20219,38904,3890403,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ﾐﾏｷﾊﾗ,長野県,東御市,御牧原,0,0,0,0,0,0
20219,38905,3890518,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ﾓﾄｳﾝﾉ,長野県,東御市,本海野,0,0,0,0,0,0
20219,38904,3890406,ﾅｶﾞﾉｹﾝ,ﾄｳﾐｼ,ﾔｴﾊﾗ,長野県,東御市,八重原,0,0,0,0,0,0
20321,38901,3890100,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝｶﾙｲｻﾞﾜﾏﾁ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,長野県,北佐久郡軽井沢町,以下に掲載がない場合,0,0,0,0,0,0
20321,38901,3890115,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝｶﾙｲｻﾞﾜﾏﾁ,ｵｲﾜｹ,長野県,北佐久郡軽井沢町,追分,0,0,0,0,0,0
20321,38901,3890102,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝｶﾙｲｻﾞﾜﾏﾁ,ｶﾙｲｻﾞﾜ(ｵｵｱｻﾞ),長野県,北佐久郡軽井沢町,軽井沢（大字）,1,0,0,0,0,0
20321,38901,3890103,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝｶﾙｲｻﾞﾜﾏﾁ,ｶﾙｲｻﾞﾜ(ｿﾉﾀ),長野県,北佐久郡軽井沢町,軽井沢（その他）,1,0,0,0,0,0
20321,38901,3890104,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝｶﾙｲｻﾞﾜﾏﾁ,ｶﾙｲｻﾞﾜﾋｶﾞｼ,長野県,北佐久郡軽井沢町,軽井沢東,0,0,0,0,0,0
20321,38901,3890101,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝｶﾙｲｻﾞﾜﾏﾁ,ﾄｳｹﾞﾏﾁ,長野県,北佐久郡軽井沢町,峠町,0,0,0,0,0,0
20321,38901,3890112,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝｶﾙｲｻﾞﾜﾏﾁ,ﾅｶｶﾙｲｻﾞﾜ,長野県,北佐久郡軽井沢町,中軽井沢,0,0,0,0,0,0
20321,38901,3890111,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝｶﾙｲｻﾞﾜﾏﾁ,ﾅｶﾞｸﾗ,長野県,北佐久郡軽井沢町,長倉,0,0,0,0,0,0
20321,38901,3890113,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝｶﾙｲｻﾞﾜﾏﾁ,ﾎｯﾁ,長野県,北佐久郡軽井沢町,発地,0,0,0,0,0,0
20321,38901,3890114,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝｶﾙｲｻﾞﾜﾏﾁ,ﾓｻﾞﾜ,長野県,北佐久郡軽井沢町,茂沢,0,0,0,0,0,0
20323,38902,3890200,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝﾐﾖﾀﾏﾁ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,長野県,北佐久郡御代田町,以下に掲載がない場合,0,0,0,0,0,0
20323,38902,3890205,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝﾐﾖﾀﾏﾁ,ｵﾓｶﾞｴ,長野県,北佐久郡御代田町,面替,0,0,0,0,0,0
20323,38902,3890202,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝﾐﾖﾀﾏﾁ,ｸｻｺﾞｴ,長野県,北佐久郡御代田町,草越,0,0,0,0,0,0
20323,38902,3890201,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝﾐﾖﾀﾏﾁ,ｼｵﾉ,長野県,北佐久郡御代田町,塩野,0,0,0,0,0,0
20323,38902,3890203,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝﾐﾖﾀﾏﾁ,ﾋﾛﾄ,長野県,北佐久郡御代田町,広戸,0,0,0,0,0,0
20323,38902,3890204,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝﾐﾖﾀﾏﾁ,ﾎｳｼｮｳ,長野県,北佐久郡御代田町,豊昇,0,0,0,0,0,0
20323,38902,3890207,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝﾐﾖﾀﾏﾁ,ﾏｾｸﾞﾁ,長野県,北佐久郡御代田町,馬瀬口,0,0,0,0,0,0
20323,38902,3890206,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝﾐﾖﾀﾏﾁ,ﾐﾖﾀ,長野県,北佐久郡御代田町,御代田,0,0,0,0,0,0
20323,38902,3890208,ﾅｶﾞﾉｹﾝ,ｷﾀｻｸｸﾞﾝﾐﾖﾀﾏﾁ,ﾓｻﾜ,長野県,北佐久郡御代田町,茂沢,0,0,0,0,0,0
20521,38906,3890600,ﾅｶﾞﾉｹﾝ,ﾊﾆｼﾅｸﾞﾝｻｶｷﾏﾁ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,長野県,埴科郡坂城町,以下に掲載がない場合,0,0,0,0,0,0
20521,38906,3890604,ﾅｶﾞﾉｹﾝ,ﾊﾆｼﾅｸﾞﾝｻｶｷﾏﾁ,ｱﾐｶｹ,長野県,埴科郡坂城町,網掛,0,0,0,0,0,0
20521,38906,3890605,ﾅｶﾞﾉｹﾝ,ﾊﾆｼﾅｸﾞﾝｻｶｷﾏﾁ,ｳﾜﾀﾞｲﾗ,長野県,埴科郡坂城町,上平,0,0,0,0,0,0
20521,38906,3890606,ﾅｶﾞﾉｹﾝ,ﾊﾆｼﾅｸﾞﾝｻｶｷﾏﾁ,ｶﾐｺﾞﾐｮｳ,長野県,埴科郡坂城町,上五明,0,0,0,0,0,0
20521,38906,3890601,ﾅｶﾞﾉｹﾝ,ﾊﾆｼﾅｸﾞﾝｻｶｷﾏﾁ,ｻｶｷ,長野県,埴科郡坂城町,坂城,0,0,0,0,0,0
20521,38906,3890602,ﾅｶﾞﾉｹﾝ,ﾊﾆｼﾅｸﾞﾝｻｶｷﾏﾁ,ﾅｶﾉｼﾞｮｳ,長野県,埴科郡坂城町,中之条,0,0,0,0,0,0
20521,38906,3890603,ﾅｶﾞﾉｹﾝ,ﾊﾆｼﾅｸﾞﾝｻｶｷﾏﾁ,ﾐﾅﾐｼﾞｮｳ,長野県,埴科郡坂城町,南条,0,0,0,0,0,0
20562,38923,3892300,ﾅｶﾞﾉｹﾝ,ｼﾓﾀｶｲｸﾞﾝｷｼﾞﾏﾀﾞｲﾗﾑﾗ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,長野県,下高井郡木島平村,以下に掲載がない場合,0,0,0,0,0,0
20562,38923,3892302,ﾅｶﾞﾉｹﾝ,ｼﾓﾀｶｲｸﾞﾝｷｼﾞﾏﾀﾞｲﾗﾑﾗ,ｵｳｺﾞｳ,長野県,下高井郡木島平村,往郷,0,0,0,0,0,0
20562,38923,3892303,ﾅｶﾞﾉｹﾝ,ｼﾓﾀｶｲｸﾞﾝｷｼﾞﾏﾀﾞｲﾗﾑﾗ,ｶﾐｷｼﾞﾏ,長野県,下高井郡木島平村,上木島,0,0,0,0,0,0
20562,38923,3892301,ﾅｶﾞﾉｹﾝ,ｼﾓﾀｶｲｸﾞﾝｷｼﾞﾏﾀﾞｲﾗﾑﾗ,ﾎﾀｶ,長野県,下高井郡木島平村,穂高,0,0,0,0,0,0
20563,38925,3892500,ﾅｶﾞﾉｹﾝ,ｼﾓﾀｶｲｸﾞﾝﾉｻﾞﾜｵﾝｾﾝﾑﾗ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,長野県,下高井郡野沢温泉村,以下に掲載がない場合,0,0,0,0,0,0
20563,38925,3892501,ﾅｶﾞﾉｹﾝ,ｼﾓﾀｶｲｸﾞﾝﾉｻﾞﾜｵﾝｾﾝﾑﾗ,ﾂﾎﾞﾔﾏ,長野県,下高井郡野沢温泉村,坪山,0,0,0,0,0,0
20563,38925,3892502,ﾅｶﾞﾉｹﾝ,ｼﾓﾀｶｲｸﾞﾝﾉｻﾞﾜｵﾝｾﾝﾑﾗ,ﾄﾖｻﾄ,長野県,下高井郡野沢温泉村,豊郷,0,0,0,0,0,0
20563,38926,3892612,ﾅｶﾞﾉｹﾝ,ｼﾓﾀｶｲｸﾞﾝﾉｻﾞﾜｵﾝｾﾝﾑﾗ,ﾅﾅｶﾞﾏｷ,長野県,下高井郡野沢温泉村,七ケ巻,0,0,0,0,0,0
20563,38926,3892611,ﾅｶﾞﾉｹﾝ,ｼﾓﾀｶｲｸﾞﾝﾉｻﾞﾜｵﾝｾﾝﾑﾗ,ﾋｶﾞｼｵｵﾀｷ,長野県,下高井郡野沢温泉村,東大滝,0,0,0,0,0,0
20563,38926,3892614,ﾅｶﾞﾉｹﾝ,ｼﾓﾀｶｲｸﾞﾝﾉｻﾞﾜｵﾝｾﾝﾑﾗ,ﾋﾗﾊﾞﾔｼ,長野県,下高井郡野沢温泉村,平林,0,0,0,0,0,0
20563,38925,3892503,ﾅｶﾞﾉｹﾝ,ｼﾓﾀｶｲｸﾞﾝﾉｻﾞﾜｵﾝｾﾝﾑﾗ,ﾏｴｻﾞｶ,長野県,下高井郡野沢温泉村,前坂,0,0,0,0,0,0
20563,38926,3892613,ﾅｶﾞﾉｹﾝ,ｼﾓﾀｶｲｸﾞﾝﾉｻﾞﾜｵﾝｾﾝﾑﾗ,ﾑｼｳ,長野県,下高井郡野沢温泉村,虫生,0,0,0,0,0,0
20583,38913,3891300,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,長野県,上水内郡信濃町,以下に掲載がない場合,0,0,0,0,0,0
20583,38913,3891311,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ｱﾗｾﾊﾞﾗ,長野県,上水内郡信濃町,荒瀬原,0,0,0,0,0,0
20583,38913,3891316,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ｵｵｲ,長野県,上水内郡信濃町,大井,0,0,0,0,0,0
20583,38913,3891305,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ｶｼﾜﾊﾞﾗ,長野県,上水内郡信濃町,柏原,0,0,0,0,0,0
20583,38913,3891304,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ｶﾐﾔﾏｺｸｻｲﾑﾗ,長野県,上水内郡信濃町,神山国際村,0,0,0,0,0,0
20583,38913,3891301,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ｸﾏｻｶ,長野県,上水内郡信濃町,熊坂,0,0,0,0,0,0
20583,38913,3891312,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ﾄﾐﾉ,長野県,上水内郡信濃町,富濃,0,0,0,0,0,0
20583,38913,3891303,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ﾉｼﾞﾘ,長野県,上水内郡信濃町,野尻,1,0,0,0,0,0
20583,38913,3891306,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ﾉｼﾞﾘ(ﾀﾞｲｶﾞｸﾑﾗ),長野県,上水内郡信濃町,野尻（大学村）,1,0,0,0,0,0
20583,38913,3891315,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ﾋﾗｵｶ,長野県,上水内郡信濃町,平岡,0,0,0,0,0,0
20583,38913,3891313,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ﾌﾙﾏ,長野県,上水内郡信濃町,古間,0,0,0,0,0,0
20583,38913,3891302,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ﾌﾙﾐ,長野県,上水内郡信濃町,古海,0,0,0,0,0,0
20583,38913,3891314,ﾅｶﾞﾉｹﾝ,ｶﾐﾐﾉﾁｸﾞﾝｼﾅﾉﾏﾁ,ﾎﾅﾐ,長野県,上水内郡信濃町,穂波,0,0,0,0,0,0
